TICKER,SECTOR,INDUSTRY
FCN,Industrials,Consulting Services
APLD,Financial Services,Capital Markets
FLC,Financial Services,Asset Management
FNWD,Financial Services,Banks—Regional
BMTM,Communication Services,Internet Content & Information
SLGC,Healthcare,Health Information Services
DGLY,Industrials,Security & Protection Services
JBL,Technology,Electronic Components
CRWE,Industrials,Consulting Services
KALO,Fund,
HQL,Financial Services,Asset Management
CI,Healthcare,Healthcare Plans
AVPT,Technology,Software—Infrastructure
MEC,Industrials,Metal Fabrication
EAC,Financial Services,Shell Companies
XRAY,Healthcare,Medical Instruments & Supplies
RTLR,Energy,Oil & Gas Midstream
FNWB,Financial Services,Banks—Regional
NMI,Financial Services,Asset Management
ZEN,Technology,Software—Application
ARKO,Consumer Cyclical,Specialty Retail
LSI,Real Estate,REIT—Industrial
JCO,Financial Services,Asset Management
SIMPQ,Consumer Cyclical,Specialty Retail
INCY,Healthcare,Biotechnology
PG,Consumer Defensive,Household & Personal Products
DLTH,Consumer Cyclical,Apparel Retail
CTIC,Healthcare,Biotechnology
CSQ,Financial Services,Asset Management
VUZI,Technology,Consumer Electronics
CGRN,Industrials,Specialty Industrial Machinery
PFDR,Financial Services,Shell Companies
SGMO,Healthcare,Biotechnology
SYSX,Financial Services,Capital Markets
RETA,Healthcare,Biotechnology
BFRI,Healthcare,Drug Manufacturers—Specialty & Generic
LVOX,Technology,Software—Infrastructure
SSNT,Technology,Software—Application
DOOR,Industrials,Building Products & Equipment
AIR,Industrials,Aerospace & Defense
VRTV,Industrials,Conglomerates
DNLI,Healthcare,Biotechnology
AYX,Technology,Software—Application
IWSH,Financial Services,Shell Companies
NSC,Industrials,Railroads
GURE,Basic Materials,Specialty Chemicals
BMXC,Consumer Defensive,Household & Personal Products
SGRY,Healthcare,Medical Care Facilities
STEM,Technology,Software—Infrastructure
CNTX,Healthcare,Biotechnology
MAXD,Technology,Software—Application
NMRK,Real Estate,Real Estate Services
BCLI,Healthcare,Biotechnology
TXHG,Industrials,Industrial Distribution
MOD,Consumer Cyclical,Auto Parts
TDUP,Consumer Cyclical,Internet Retail
FXNC,Financial Services,Banks—Regional
RQI,Financial Services,Asset Management
TNRG,Healthcare,Drug Manufacturers—Specialty & Generic
TSQ,Communication Services,Advertising Agencies
ERH,Financial Services,Asset Management
SP,Industrials,Specialty Business Services
HALO,Healthcare,Biotechnology
BROS,Consumer Cyclical,Restaurants
HTY,Financial Services,Asset Management
SYPR,Consumer Cyclical,Auto Parts
LBPH,Healthcare,Biotechnology
TEUM,Technology,Software—Application
BLXX,Basic Materials,Other Precious Metals & Mining
ORCL,Technology,Software—Infrastructure
NKSH,Financial Services,Banks—Regional
RSLS,Healthcare,Medical Devices
MMP,Energy,Oil & Gas Midstream
PVNC,Financial Services,Shell Companies
MQT,Financial Services,Asset Management
PONO,Financial Services,Shell Companies
BKE,Consumer Cyclical,Apparel Retail
AKYA,Healthcare,Medical Instruments & Supplies
AZEK,Industrials,Building Products & Equipment
SUN,Energy,Oil & Gas Refining & Marketing
GEGP,Financial Services,Shell Companies
ESTA,Healthcare,Medical Devices
ECXJ,Consumer Cyclical,Specialty Retail
FA,Industrials,Specialty Business Services
HITC,Healthcare,Health Information Services
TESS,Technology,Communication Equipment
AMT,Real Estate,REIT—Specialty
CVAT,Industrials,Specialty Industrial Machinery
FRG,Consumer Cyclical,Specialty Retail
HMMR,Communication Services,Telecom Services
LADR,Real Estate,REIT—Mortgage
VSCO,Consumer Cyclical,Apparel Retail
ASIX,Basic Materials,Chemicals
ASTE,Industrials,Farm & Heavy Construction Machinery
INST,Technology,Software—Application
SNEX,Financial Services,Capital Markets
RAND,Financial Services,Asset Management
SOI,Energy,Oil & Gas Equipment & Services
XLO,Healthcare,Biotechnology
ROVR,Consumer Cyclical,Personal Services
CDAK,Healthcare,Biotechnology
AVTX,Healthcare,Biotechnology
BGCP,Financial Services,Capital Markets
REVB,Healthcare,Biotechnology
UMBF,Financial Services,Banks—Regional
HUBB,Industrials,Electrical Equipment & Parts
TMRR,Real Estate,Real Estate Services
TPG,Financial Services,Asset Management
MSDA,Financial Services,Shell Companies
SSKN,Healthcare,Medical Devices
RKFL,Technology,Software—Application
DLOC,Industrials,Engineering & Construction
ASCA,Financial Services,Shell Companies
SURF,Healthcare,Biotechnology
AFAQ,Financial Services,Shell Companies
IQV,Healthcare,Diagnostics & Research
CRVS,Healthcare,Biotechnology
IPTK,Technology,Communication Equipment
HPI,Financial Services,Asset Management
DRVN,Consumer Cyclical,Auto & Truck Dealerships
TRLEF,Energy,Oil & Gas E&P
PKG,Consumer Cyclical,Packaging & Containers
PRSI,Consumer Cyclical,Lodging
ADBE,Technology,Software—Infrastructure
IONQ,Technology,Computer Hardware
ED,Utilities,Utilities—Regulated Electric
OMF,Financial Services,Credit Services
AGFY,Industrials,Engineering & Construction
AMC,Communication Services,Entertainment
TXT,Industrials,Aerospace & Defense
FUSN,Healthcare,Biotechnology
IBER,Financial Services,Shell Companies
MNTR,Financial Services,Capital Markets
INPX,Technology,Software—Application
HOUR,Consumer Cyclical,Internet Retail
APOG,Industrials,Building Products & Equipment
LOAN,Real Estate,REIT—Mortgage
DD,Basic Materials,Specialty Chemicals
ROIV,Healthcare,Biotechnology
WRE,Real Estate,REIT—Office
FLYW,Technology,Information Technology Services
GNRC,Industrials,Specialty Industrial Machinery
JOB,Industrials,Staffing & Employment Services
NDRA,Healthcare,Diagnostics & Research
TY,Financial Services,Asset Management
AMRK,Financial Services,Capital Markets
AWK,Utilities,Utilities—Regulated Water
SGIC,Real Estate,REIT—Retail
PHUN,Technology,Software—Application
INSM,Healthcare,Biotechnology
PHAS,Healthcare,Biotechnology
NXMH,Financial Services,Shell Companies
ADX,Financial Services,Asset Management
ECPG,Financial Services,Mortgage Finance
ITRI,Technology,Scientific & Technical Instruments
GAXY,Technology,Consumer Electronics
CHUY,Consumer Cyclical,Restaurants
RNVA,Healthcare,Diagnostics & Research
BCC,Basic Materials,Building Materials
CFIV,Financial Services,Shell Companies
AMCR,Consumer Cyclical,Packaging & Containers
NVDA,Technology,Semiconductors
KFRC,Industrials,Staffing & Employment Services
ASNB,Financial Services,Shell Companies
PLOW,Consumer Cyclical,Auto Parts
CCB,Financial Services,Banks—Regional
GLT,Basic Materials,Paper & Paper Products
KAII,Financial Services,Shell Companies
TILE,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
GVP,Technology,Software—Application
ALTR,Technology,Software—Infrastructure
LGF-A,Communication Services,Entertainment
CVNA,Consumer Cyclical,Internet Retail
ACR,Real Estate,REIT—Mortgage
THM,Basic Materials,Gold
VINO,Real Estate,Real Estate—Diversified
OFLX,Industrials,Specialty Industrial Machinery
SPWR,Technology,Solar
CHSCP,Consumer Defensive,Farm Products
AVNS,Healthcare,Medical Devices
HEQ,Financial Services,Asset Management
ORMP,Healthcare,Biotechnology
PDI,Financial Services,Asset Management
TH,Industrials,Specialty Business Services
SGRP,Industrials,Specialty Business Services
CLRD,Healthcare,Medical Care Facilities
NILE,Industrials,Aerospace & Defense
AGGR,Financial Services,Shell Companies
LGIQ,Technology,Software—Application
ODYY,Healthcare,Medical Devices
MCY,Financial Services,Insurance—Property & Casualty
EBF,Industrials,Business Equipment & Supplies
CPHC,Consumer Cyclical,Gambling
NOVV,Financial Services,Shell Companies
LMFA,Financial Services,Credit Services
ZETA,Technology,Software—Application
BBY,Consumer Cyclical,Specialty Retail
DNP,Financial Services,Asset Management
OWL,Financial Services,Asset Management
INTT,Technology,Semiconductor Equipment & Materials
RGEN,Healthcare,Medical Instruments & Supplies
AUBN,Financial Services,Banks—Regional
FTHM,Real Estate,Real Estate Services
EMF,Financial Services,Asset Management
ALJJ,Industrials,Specialty Business Services
HRB,Consumer Cyclical,Personal Services
DOCN,Technology,Software—Infrastructure
PPC,Consumer Defensive,Packaged Foods
STOR,Real Estate,REIT—Diversified
PXD,Energy,Oil & Gas E&P
CDMO,Healthcare,Biotechnology
UDR,Real Estate,REIT—Residential
GHST,Consumer Cyclical,Specialty Retail
CUBA,Financial Services,Asset Management
TG,Industrials,Metal Fabrication
AZZ,Industrials,Metal Fabrication
HSTA,Technology,Software—Application
CYCC,Healthcare,Biotechnology
PHX,Energy,Oil & Gas E&P
AXSM,Healthcare,Biotechnology
OUST,Technology,Electronic Components
CORZ,Technology,Software—Infrastructure
KBLB,Basic Materials,Specialty Chemicals
BTU,Energy,Thermal Coal
NEN,Real Estate,Real Estate Services
ORRF,Financial Services,Banks—Regional
RMBI,Financial Services,Banks—Regional
QLYS,Technology,Software—Infrastructure
MDT,Healthcare,Medical Devices
SUPN,Healthcare,Drug Manufacturers—Specialty & Generic
FDBC,Financial Services,Banks—Regional
FAF,Financial Services,Insurance—Specialty
CL,Consumer Defensive,Household & Personal Products
RTSL,Healthcare,Medical Devices
PATK,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
FACT,Financial Services,Shell Companies
GNPX,Healthcare,Biotechnology
ZBRA,Technology,Communication Equipment
CHX,Energy,Oil & Gas Equipment & Services
STC,Financial Services,Insurance—Property & Casualty
ROL,Consumer Cyclical,Personal Services
MYPS,Communication Services,Electronic Gaming & Multimedia
NMTC,Healthcare,Medical Devices
LTAFX,Fund,
MORF,Healthcare,Biotechnology
CPAA,Financial Services,Shell Companies
BOCN,Financial Services,Shell Companies
YUMM,Consumer Defensive,Education & Training Services
EVK,Consumer Cyclical,Apparel Manufacturing
NCLH,Consumer Cyclical,Travel Services
PIXY,Industrials,Staffing & Employment Services
AMRS,Basic Materials,Specialty Chemicals
MRTN,Industrials,Trucking
VIVO,Healthcare,Diagnostics & Research
TEAF,Financial Services,Asset Management
RLJ,Real Estate,REIT—Hotel & Motel
KEY,Financial Services,Banks—Regional
IMH,Financial Services,Mortgage Finance
LHX,Industrials,Aerospace & Defense
NLCP,Real Estate,REIT—Specialty
PHIG,Financial Services,Capital Markets
CFFS,Financial Services,Shell Companies
FTPA,Financial Services,Shell Companies
NRO,Financial Services,Asset Management
STOK,Healthcare,Biotechnology
PSTX,Healthcare,Biotechnology
GNW,Financial Services,Insurance—Life
OXUS,Financial Services,Shell Companies
LPRO,Financial Services,Credit Services
AKRO,Healthcare,Biotechnology
ESSA,Financial Services,Banks—Regional
AMST,Technology,Software—Application
MKTX,Financial Services,Capital Markets
SCVX,Fund,
NKX,Financial Services,Asset Management
SNX,Technology,Electronics & Computer Distribution
XOMA,Healthcare,Biotechnology
NBGV,Healthcare,Drug Manufacturers—Specialty & Generic
KNTK,Energy,Oil & Gas Midstream
MXF,Financial Services,Asset Management
GFTX,Consumer Cyclical,Apparel Manufacturing
CNS,Financial Services,Asset Management
MGI,Financial Services,Credit Services
FACA,Financial Services,Shell Companies
ISEE,Healthcare,Biotechnology
COFS,Financial Services,Banks—Regional
BBXIA,Financial Services,Asset Management
KNBE,Technology,Software—Infrastructure
AIHS,Financial Services,Credit Services
OPA,Financial Services,Shell Companies
CCRD,Technology,Software—Application
NGTF,Consumer Defensive,Packaged Foods
JELD,Industrials,Building Products & Equipment
UCBI,Financial Services,Banks—Regional
ACN,Technology,Information Technology Services
SGHT,Healthcare,Medical Devices
GPMT,Real Estate,REIT—Mortgage
BGY,Financial Services,Asset Management
AHCO,Healthcare,Medical Devices
LNN,Industrials,Farm & Heavy Construction Machinery
CWBR,Healthcare,Biotechnology
BIOR,Healthcare,Biotechnology
CNMD,Healthcare,Medical Devices
GPI,Consumer Cyclical,Auto & Truck Dealerships
WSO,Industrials,Industrial Distribution
DNA,Healthcare,Biotechnology
AGE,Healthcare,Biotechnology
NEO,Healthcare,Diagnostics & Research
FTV,Technology,Scientific & Technical Instruments
MRCY,Industrials,Aerospace & Defense
BAH,Industrials,Consulting Services
IHRT,Communication Services,Broadcasting
BKH,Utilities,Utilities—Diversified
AQST,Healthcare,Drug Manufacturers—Specialty & Generic
IHD,Financial Services,Asset Management
SAFT,Financial Services,Insurance—Property & Casualty
IDXG,Healthcare,Diagnostics & Research
TUEM,Consumer Defensive,Discount Stores
WULF,Financial Services,Capital Markets
SSNC,Technology,Software—Application
KSI,Financial Services,Shell Companies
BMEA,Healthcare,Biotechnology
NVR,Consumer Cyclical,Residential Construction
UGI,Utilities,Utilities—Regulated Gas
MUA,Financial Services,Asset Management
VEEE,Consumer Cyclical,Recreational Vehicles
SIBN,Healthcare,Medical Devices
TDG,Industrials,Aerospace & Defense
OIA,Financial Services,Asset Management
GSMG,Communication Services,Advertising Agencies
KLDO,Healthcare,Biotechnology
INZY,Healthcare,Biotechnology
ELRE,Communication Services,Internet Content & Information
PCYO,Utilities,Utilities—Regulated Water
APLE,Real Estate,REIT—Hotel & Motel
FMBM,Financial Services,Banks—Regional
PCTI,Technology,Communication Equipment
PNRG,Energy,Oil & Gas E&P
BDN,Real Estate,REIT—Office
FREVS,Real Estate,REIT—Diversified
ALRM,Technology,Software—Application
GSHN,Financial Services,Shell Companies
SAVA,Healthcare,Biotechnology
JLS,Financial Services,Asset Management
CTGO,Basic Materials,Gold
HIO,Financial Services,Asset Management
INTU,Technology,Software—Application
BERY,Consumer Cyclical,Packaging & Containers
DXPE,Industrials,Industrial Distribution
UPST,Financial Services,Credit Services
ICR-PA,Real Estate,REIT—Mortgage
MLI,Industrials,Metal Fabrication
BCYC,Healthcare,Biotechnology
SCYX,Healthcare,Drug Manufacturers—Specialty & Generic
ETX,Financial Services,Asset Management
HAE,Healthcare,Medical Instruments & Supplies
EDTX,Financial Services,Shell Companies
NLST,Technology,Semiconductors
SVT,Industrials,Electrical Equipment & Parts
MGPI,Consumer Defensive,Beverages—Wineries & Distilleries
SMED,Industrials,Waste Management
GYRO,Real Estate,Real Estate Services
FORZ,Healthcare,Medical Devices
AFIB,Healthcare,Medical Devices
UBER,Technology,Software—Application
HHGC,Financial Services,Shell Companies
RCLF,Financial Services,Shell Companies
BDCO,Energy,Oil & Gas Refining & Marketing
KRP,Energy,Oil & Gas E&P
FLWS,Consumer Cyclical,Specialty Retail
OCX,Healthcare,Biotechnology
OSBC,Financial Services,Banks—Regional
HJGP,Consumer Cyclical,Internet Retail
GCBC,Financial Services,Banks—Regional
CONN,Consumer Cyclical,Specialty Retail
BIO,Healthcare,Medical Devices
GLYC,Healthcare,Biotechnology
RPAY,Technology,Software—Infrastructure
CMCSA,Communication Services,Telecom Services
BJ,Consumer Defensive,Discount Stores
EXDW,Consumer Defensive,Education & Training Services
GAIN,Financial Services,Asset Management
EE,Utilities,Utilities—Renewable
QNGY,Technology,Scientific & Technical Instruments
TAP,Consumer Defensive,Beverages—Brewers
GLBD,Industrials,Conglomerates
AVXL,Healthcare,Biotechnology
GTEC,Industrials,Specialty Industrial Machinery
CURV,Consumer Cyclical,Apparel Retail
EVRI,Consumer Cyclical,Gambling
ASMB,Healthcare,Biotechnology
GNT,Financial Services,Asset Management
BATL,Energy,Oil & Gas E&P
AAN,Industrials,Rental & Leasing Services
WKSP,Consumer Cyclical,Auto Parts
RKTA,Financial Services,Shell Companies
NBLD,Communication Services,Advertising Agencies
LTSF,Fund,
ROLL,Industrials,Tools & Accessories
INSG,Technology,Communication Equipment
ITT,Industrials,Specialty Industrial Machinery
PRIM,Industrials,Engineering & Construction
PECO,Real Estate,REIT—Retail
TPX,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
RACY,Financial Services,Shell Companies
IPI,Basic Materials,Agricultural Inputs
OCUP,Healthcare,Biotechnology
LOVE,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
MHD,Financial Services,Asset Management
SCPH,Healthcare,Biotechnology
PEB,Real Estate,REIT—Hotel & Motel
EMAN,Technology,Electronic Components
STEW,Financial Services,Asset Management
GAB,Financial Services,Asset Management
ALLR,Healthcare,Biotechnology
CYTK,Healthcare,Biotechnology
SHOO,Consumer Cyclical,Footwear & Accessories
SEM,Healthcare,Medical Care Facilities
CODA,Industrials,Aerospace & Defense
RVAC,Financial Services,Shell Companies
PGNY,Healthcare,Health Information Services
XPOF,Consumer Cyclical,Leisure
BKR,Energy,Oil & Gas Equipment & Services
ET,Energy,Oil & Gas Midstream
XL,Consumer Cyclical,Auto Parts
HTBI,Financial Services,Banks—Regional
VXRT,Healthcare,Biotechnology
METC,Basic Materials,Coking Coal
EXEL,Healthcare,Biotechnology
MGF,Financial Services,Asset Management
ANIX,Healthcare,Biotechnology
PESI,Industrials,Waste Management
VYNT,Healthcare,Biotechnology
LSMG,Basic Materials,Other Industrial Metals & Mining
CRSP,Healthcare,Biotechnology
LC,Financial Services,Credit Services
CRL,Healthcare,Diagnostics & Research
GLQ,Financial Services,Asset Management
EAT,Consumer Cyclical,Restaurants
MODN,Technology,Software—Application
ALNA,Healthcare,Biotechnology
JNPR,Technology,Communication Equipment
APLT,Healthcare,Biotechnology
BNGO,Healthcare,Diagnostics & Research
EXPO,Industrials,Consulting Services
THMG,Basic Materials,Other Precious Metals & Mining
PTLO,Consumer Cyclical,Restaurants
ADAL,Financial Services,Shell Companies
GBPT,Consumer Cyclical,Internet Retail
FMCC,Financial Services,Mortgage Finance
ROYL,Energy,Oil & Gas E&P
UEEC,Healthcare,Medical Instruments & Supplies
VGZ,Basic Materials,Gold
TR,Consumer Defensive,Confectioners
BKT,Financial Services,Asset Management
CRCT,Technology,Computer Hardware
VEII,Technology,Information Technology Services
GMDA,Healthcare,Biotechnology
NEV,Financial Services,Asset Management
AMPE,Healthcare,Biotechnology
MYFW,Financial Services,Banks—Regional
NOA,Energy,Oil & Gas Equipment & Services
ALKT,Technology,Software—Application
DRCT,Communication Services,Advertising Agencies
RGP,Industrials,Consulting Services
SITE,Industrials,Industrial Distribution
TCPC,Financial Services,Asset Management
MSN,Technology,Consumer Electronics
GROM,Communication Services,Internet Content & Information
ABSI,Healthcare,Biotechnology
LCW,Financial Services,Shell Companies
AUMN,Basic Materials,Other Precious Metals & Mining
DENR,Energy,Oil & Gas E&P
CPRT,Consumer Cyclical,Auto & Truck Dealerships
AAQC,Financial Services,Shell Companies
CENQ,Financial Services,Shell Companies
NTAP,Technology,Computer Hardware
WTBA,Financial Services,Banks—Regional
ARNA,Fund,
BPYPM,Fund,
CTMX,Healthcare,Biotechnology
TTWO,Communication Services,Electronic Gaming & Multimedia
GTII,Industrials,Conglomerates
GNE,Utilities,Utilities—Regulated Electric
VRME,Industrials,Security & Protection Services
MYHI,Healthcare,Drug Manufacturers—Specialty & Generic
NFLX,Communication Services,Entertainment
CDXC,Healthcare,Biotechnology
NUMD,Healthcare,Medical Devices
CRWS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
POND,Financial Services,Shell Companies
DPG,Financial Services,Asset Management
BKEP,Energy,Oil & Gas Midstream
SGEN,Healthcare,Biotechnology
ATSG,Industrials,Airlines
EHTH,Financial Services,Insurance Brokers
PARA,Communication Services,Entertainment
SIGY,Healthcare,Biotechnology
UBP,Real Estate,REIT—Retail
AMCX,Communication Services,Entertainment
CIX,Industrials,Security & Protection Services
BKD,Healthcare,Medical Care Facilities
HVBC,Financial Services,Banks—Regional
NSRCF,Basic Materials,Other Industrial Metals & Mining
XFEAX,Fund,
CLOW,Financial Services,Shell Companies
HSII,Industrials,Staffing & Employment Services
PKE,Industrials,Aerospace & Defense
MXC,Energy,Oil & Gas E&P
CBKM,Financial Services,Banks—Regional
SNCE,Healthcare,Health Information Services
SDGR,Healthcare,Health Information Services
INSE,Consumer Cyclical,Gambling
GAM,Financial Services,Asset Management
CCCC,Healthcare,Biotechnology
OVID,Healthcare,Biotechnology
BDSX,Healthcare,Diagnostics & Research
VHI,Basic Materials,Chemicals
UNTY,Financial Services,Banks—Regional
EPAC,Industrials,Specialty Industrial Machinery
FBIZ,Financial Services,Banks—Regional
NIMU,Financial Services,Shell Companies
CBRL,Consumer Cyclical,Restaurants
GALT,Healthcare,Biotechnology
VMEO,Technology,Software—Application
BARK,Consumer Cyclical,Specialty Retail
GTX,Consumer Cyclical,Auto Parts
CPHI,Healthcare,Drug Manufacturers—Specialty & Generic
UTMD,Healthcare,Medical Instruments & Supplies
PNTG,Healthcare,Medical Care Facilities
NUS,Consumer Defensive,Household & Personal Products
AMED,Healthcare,Medical Care Facilities
VRPX,Healthcare,Biotechnology
INAB,Healthcare,Biotechnology
WKHS,Consumer Cyclical,Auto Manufacturers
FLIC,Financial Services,Banks—Regional
IQI,Financial Services,Asset Management
GUT,Financial Services,Asset Management
APAM,Financial Services,Asset Management
PSF,Financial Services,Asset Management
CNIG,Fund,
SPFI,Financial Services,Banks—Regional
INRD,Technology,Electronic Components
HMN,Financial Services,Insurance—Property & Casualty
CLDX,Healthcare,Biotechnology
GIS,Consumer Defensive,Packaged Foods
MMI,Real Estate,Real Estate Services
RYI,Industrials,Metal Fabrication
MCW,Consumer Cyclical,Personal Services
HT,Real Estate,REIT—Hotel & Motel
SHAP,Financial Services,Shell Companies
QTEK,Communication Services,Telecom Services
GWRE,Technology,Software—Application
PAYO,Technology,Software—Infrastructure
XPL,Basic Materials,Other Industrial Metals & Mining
AWYS,Fund,
CBAT,Industrials,Electrical Equipment & Parts
PNR,Industrials,Specialty Industrial Machinery
PM,Consumer Defensive,Tobacco
BUUZ,Financial Services,Shell Companies
BWC,Financial Services,Shell Companies
GOSS,Healthcare,Biotechnology
CMRA,Healthcare,Biotechnology
DMTK,Healthcare,Diagnostics & Research
GMS,Industrials,Building Products & Equipment
VLT,Financial Services,Asset Management
FICO,Technology,Software—Application
LNBY,Fund,
LZB,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
BC,Consumer Cyclical,Recreational Vehicles
EOLS,Healthcare,Drug Manufacturers—Specialty & Generic
ERIE,Financial Services,Insurance Brokers
CFB,Financial Services,Banks—Regional
SDC,Healthcare,Medical Instruments & Supplies
IKT,Healthcare,Biotechnology
ADN,Utilities,Utilities—Renewable
PPIH,Industrials,Building Products & Equipment
GWTI,Energy,Oil & Gas Equipment & Services
PEBO,Financial Services,Banks—Regional
PCYN,Healthcare,Drug Manufacturers—Specialty & Generic
ANY,Technology,Software—Application
HWKN,Basic Materials,Specialty Chemicals
TNLX,Technology,Electronic Components
BWXT,Industrials,Aerospace & Defense
NVEC,Technology,Semiconductors
TRUP,Financial Services,Insurance—Specialty
CHGG,Consumer Defensive,Education & Training Services
CODQL,Basic Materials,Coking Coal
SSTI,Technology,Software—Application
BUDZ,Healthcare,Drug Manufacturers—Specialty & Generic
MVST,Industrials,Electrical Equipment & Parts
WELL,Real Estate,REIT—Healthcare Facilities
SSTK,Communication Services,Internet Content & Information
IMPX,Financial Services,Shell Companies
JPI,Financial Services,Asset Management
MSCI,Financial Services,Financial Data & Stock Exchanges
BKI,Technology,Software—Application
CPB,Consumer Defensive,Packaged Foods
IDW,Communication Services,Publishing
BWB,Financial Services,Banks—Regional
ACHC,Healthcare,Medical Care Facilities
NHHS,Real Estate,REIT—Healthcare Facilities
GIM,Financial Services,Asset Management
HWNI,Technology,Information Technology Services
ODTC,Healthcare,Biotechnology
GLS,Healthcare,Biotechnology
CMA,Financial Services,Banks—Regional
NEE,Utilities,Utilities—Regulated Electric
GLBZ,Financial Services,Banks—Regional
FOMC,Financial Services,Asset Management
MAQC,Financial Services,Shell Companies
PAYS,Technology,Software—Infrastructure
MOVE,Healthcare,Medical Devices
REGI,Energy,Oil & Gas Refining & Marketing
ARNC,Industrials,Metal Fabrication
SYY,Consumer Defensive,Food Distribution
MXSG,Basic Materials,Other Precious Metals & Mining
FLT,Technology,Software—Infrastructure
AMTX,Energy,Oil & Gas Refining & Marketing
UUU,Industrials,Security & Protection Services
DLX,Communication Services,Advertising Agencies
BREZ,Financial Services,Shell Companies
SEAC,Technology,Software—Application
CHCO,Financial Services,Banks—Regional
HL,Basic Materials,Gold
GTIM,Consumer Cyclical,Restaurants
TRS,Consumer Cyclical,Packaging & Containers
MCRB,Healthcare,Biotechnology
ACEV,Financial Services,Shell Companies
CFRX,Healthcare,Biotechnology
AFRM,Technology,Software—Infrastructure
CIDM,Communication Services,Entertainment
QNBC,Financial Services,Banks—Regional
WRBY,Healthcare,Medical Instruments & Supplies
LXRX,Healthcare,Biotechnology
TBBA,Financial Services,Banks—Regional
STON,Consumer Cyclical,Personal Services
AFFG,Fund,
CERT,Healthcare,Health Information Services
CLRB,Healthcare,Biotechnology
GRPN,Communication Services,Internet Content & Information
LSTR,Industrials,Integrated Freight & Logistics
IRWD,Healthcare,Drug Manufacturers—Specialty & Generic
CHRD,Energy,Oil & Gas E&P
FSS,Industrials,Pollution & Treatment Controls
BUSE,Financial Services,Banks—Regional
ACHR,Industrials,Aerospace & Defense
BHV,Financial Services,Asset Management
BDRL,Technology,Communication Equipment
KELYA,Industrials,Staffing & Employment Services
TER,Technology,Semiconductor Equipment & Materials
DV,Technology,Software—Application
NMCO,Fund,
NRDY,Technology,Software—Application
SPT,Technology,Software—Application
FORR,Industrials,Consulting Services
XSPA,Consumer Cyclical,Personal Services
BCPC,Basic Materials,Specialty Chemicals
MCK,Healthcare,Medical Distribution
FAM,Financial Services,Asset Management
ASB,Financial Services,Banks—Regional
PRK,Financial Services,Banks—Regional
X,Basic Materials,Steel
RL,Consumer Cyclical,Apparel Manufacturing
CWH,Consumer Cyclical,Auto & Truck Dealerships
RE,Financial Services,Insurance—Reinsurance
NMGX,Basic Materials,Specialty Chemicals
BIRD,Consumer Cyclical,Apparel Retail
MSFT,Technology,Software—Infrastructure
VABK,Financial Services,Banks—Regional
ELMD,Healthcare,Medical Devices
WAVS,Financial Services,Shell Companies
EWCZ,Consumer Defensive,Household & Personal Products
AEIS,Industrials,Electrical Equipment & Parts
CELPQ,Fund,
QNTO,Financial Services,Banks—Regional
VNOM,Energy,Oil & Gas Midstream
VLDR,Technology,Scientific & Technical Instruments
LBSR,Basic Materials,Other Industrial Metals & Mining
GSEV,Financial Services,Shell Companies
NIC,Financial Services,Banks—Regional
CMXC,Healthcare,Medical Devices
NMT,Financial Services,Asset Management
MDWT,Financial Services,Insurance—Life
LXAM,Financial Services,Shell Companies
RZLT,Healthcare,Biotechnology
ARYD,Financial Services,Shell Companies
ASRT,Healthcare,Drug Manufacturers—Specialty & Generic
SVC,Real Estate,REIT—Hotel & Motel
SCOB,Financial Services,Shell Companies
BLFY,Financial Services,Banks—Regional
DCRD,Financial Services,Shell Companies
HNVR,Financial Services,Banks—Regional
EVGO,Consumer Cyclical,Specialty Retail
FNA,Healthcare,Medical Devices
EQBK,Financial Services,Banks—Regional
MAV,Financial Services,Asset Management
FONR,Healthcare,Medical Devices
TOMZ,Industrials,Pollution & Treatment Controls
CDIX,Financial Services,Asset Management
H,Consumer Cyclical,Lodging
XFOR,Healthcare,Biotechnology
GDOT,Financial Services,Credit Services
CMU,Financial Services,Asset Management
PDT,Financial Services,Asset Management
MBII,Fund,
MNOV,Healthcare,Biotechnology
QUAD,Industrials,Specialty Business Services
FGCO,Financial Services,Financial Conglomerates
VBF,Financial Services,Asset Management
USRM,Healthcare,Biotechnology
CULP,Consumer Cyclical,Textile Manufacturing
USAK,Industrials,Trucking
TKNO,Healthcare,Drug Manufacturers—Specialty & Generic
RUTH,Consumer Cyclical,Restaurants
VOYA,Financial Services,Financial Conglomerates
FROG,Technology,Software—Application
MPX,Consumer Cyclical,Recreational Vehicles
AVTE,Healthcare,Biotechnology
BNFT,Technology,Software—Application
BPTH,Healthcare,Biotechnology
LFLY,Healthcare,Pharmaceutical Retailers
UEIC,Technology,Consumer Electronics
VIEW,Industrials,Building Products & Equipment
HELE,Consumer Defensive,Household & Personal Products
WEX,Technology,Software—Infrastructure
ADEX,Financial Services,Shell Companies
PFN,Financial Services,Asset Management
BANX,Financial Services,Asset Management
CLOE,Financial Services,Shell Companies
FCX,Basic Materials,Copper
HLWD,Communication Services,Entertainment
SAFE,Real Estate,REIT—Diversified
